PRA,Crime Count,Lat,Lon,Mean Pixel Values,Median Pixel Values,Gray_ratio
159,21,39.028415087619045,-77.01086822666667,47.35398230088496,50.0,0.0
160,84,39.020406989642865,-77.01626338511903,91.9172932330827,88.0,0.5589135424636572
161,12,39.01815602833333,-77.02014002083332,73.65217391304348,72.0,0.020891924467657693
162,41,39.018832419756095,-77.02667556804879,67.9421052631579,68.0,0.047213433925529326
163,75,39.0278923632,-77.024270652,83.63669064748201,82.0,0.5287658623183641
164,24,39.03338157958333,-77.03416335791667,67.22222222222223,60.0,0.4259695736018856
165,26,39.02701722192308,-77.03387936384615,74.84210526315789,81.0,0.2582480091012514
166,8,39.033434998749996,-77.03642309375,111.93548387096774,106.0,3.7664835164835164
167,15,39.02926250266667,-77.03740684333334,79.69,79.0,0.1552623948970716
168,73,39.02200640219178,-77.03992497205478,86.90526315789474,80.0,0.5975232198142415
169,98,39.01653018561223,-77.03565382602042,89.39800995024876,83.0,0.6639503657746088
170,53,39.03322914509434,-77.04251892867924,101.17142857142858,97.0,1.2568514977692797
171,121,39.03294345578512,-77.04817637413224,131.9848484848485,127.0,10.949245541838135
172,28,39.02731005785714,-77.04522050857143,101.75961538461539,99.0,1.1793657331136738
173,52,39.026579878269224,-77.05253216,87.40375586854461,84.0,0.44744207743741254
174,94,39.021845738617024,-77.05088911468086,77.8527397260274,81.0,0.4595826645264848
175,64,39.01727966796875,-77.04711567515625,82.89952153110048,77.0,0.5541801219949767
176,27,39.024155979259255,-77.06447444555555,54.84057971014493,52.0,0.016657710908113917
177,7,39.014868601428574,-77.05981197285713,61.666666666666664,60.0,0.0
178,26,39.01153618038462,-77.07520779384616,59.72222222222222,55.0,0.15871732686607384
179,92,39.02527668706522,-77.0749266397826,100.33464566929133,88.0,1.5915192190359975
180,27,39.018520842592594,-77.08091203666666,58.857142857142854,58.0,0.0
181,15,39.030076472666664,-77.08243639066669,86.59677419354838,83.0,0.9929472902746845
182,82,39.0233555047561,-77.08714966670732,71.24468085106383,73.0,0.09504149123165596
183,19,39.01682323263157,-77.09366021894736,58.67006802721088,55.0,0.06180363188673438
184,24,39.01223015874999,-77.08410527291666,60.69111969111969,60.0,0.06317213391951303
185,78,39.02817302628206,-77.09961933653845,78.09397590361446,71.0,0.614959138927646
186,83,39.04270317313253,-77.10805421048192,166.10638297872342,166.0,66.30172413793103
187,182,39.048669758461536,-77.10972061769232,152.66363636363636,156.0,16.59350445259298
188,121,39.04682531066115,-77.11590245462811,163.61313868613138,168.0,42.60894941634241
189,200,39.03758352395,-77.11444536415,92.60342146189736,85.0,0.736482939632546
190,105,39.02653791847619,-77.10855927799999,86.64341085271317,83.0,0.4973541429432648
191,65,39.02367293076923,-77.11896630646154,75.21835443037975,72.0,0.13863473053892217
192,33,39.020112110303025,-77.11580954969696,79.27443609022556,82.0,0.21770514523300802
193,5,39.028941929999995,-77.125759102,70.59493670886076,72.0,0.11428571428571428
194,58,39.01881318965517,-77.12711410224138,94.04034582132564,89.0,0.6818017832293976
195,29,39.017389317586215,-77.13795912241379,71.45065789473684,71.0,0.08670202121272763
196,3,39.02484733,-77.14408328333333,109.35483870967742,103.5,1.8156146179401993
197,153,39.02624802366013,-77.12836042869282,126.6531100478469,121.0,4.89543429844098
198,13,39.03363869230769,-77.13128463923077,55.28125,52.0,0.09226426744288613
199,39,39.03853930641026,-77.12923923846154,56.59012875536481,53.0,0.07865674083769633
200,79,39.0487925721519,-77.12461973556961,87.24130879345603,78.0,1.1562294667677533
201,35,39.048842820285714,-77.1423060722857,66.31622176591375,64.0,0.11519337016574585
202,9,39.041441603333325,-77.14319822888888,61.1640625,61.0,0.0
203,75,39.043547762133336,-77.15822692159999,61.33227848101266,59.0,0.16911476398733222
204,428,39.022044142079444,-77.14671618051399,182.0,180.0,169.85714285714286
205,27,39.018549737037034,-77.15258271111112,68.3257731958763,64.0,0.1670364500792393
206,10,39.002981603,-77.15801225000001,62.316,61.0,0.030902593965060877
207,3,39.01153492666666,-77.16288415333334,55.74881516587678,50.0,0.20695670018469114
208,17,39.000557058235295,-77.16247449411765,58.24634146341464,53.0,0.11776269599812778
209,6,39.00238737833333,-77.17490404666667,53.527868852459015,49.0,0.09541062801932366
210,47,38.98881923148936,-77.16802047787233,64.94438927507449,62.0,0.15264901829461736
211,31,38.985174499354834,-77.19271744064517,57.174418604651166,54.0,0.039985617445192946
212,1,38.97264819,-77.19584214,73.23611111111111,53.0,0.6966284387855944
213,7,38.99259105,-77.23716101285716,51.572672218016656,47.0,0.04847831941826017
214,34,38.98786885205883,-77.22101638941177,59.69554753309266,59.0,0.007432830364939786
215,41,39.00595974926829,-77.20568779975609,66.48908785674314,64.0,0.11164544408371771
216,35,39.014676901142856,-77.22364604485715,60.74549653579677,57.0,0.07724189902034664
217,7,39.00371092142858,-77.19286867571431,70.83833718244804,67.0,0.14515587082322196
218,51,39.01649535117647,-77.19347484529412,67.28907664453833,66.0,0.13310975609756098
219,11,39.023470489999994,-77.21007182272727,67.64797507788163,60.0,0.22227850951255207
220,55,39.025911114545465,-77.17140955127272,65.87421777221527,62.0,0.1507734353648538
221,40,39.03582903425,-77.16729580175,77.91990846681922,75.0,0.24024767801857586
222,50,39.03972917800001,-77.1825590342,69.98831168831168,67.0,0.0694356247023337
223,28,39.04331453357143,-77.16460272964285,92.81188118811882,90.0,0.5851864378117866
224,61,39.046742189180335,-77.17156031540983,93.21197007481297,88.0,0.5195544353199447
225,25,39.0500058448,-77.1816766888,70.89949748743719,72.0,0.056616490676252525
226,19,39.05407761894737,-77.17015224105262,67.05494505494505,65.0,0.06799684956681544
227,63,39.06174175158731,-77.16765824746032,75.88423153692615,72.0,0.19741732283464566
228,74,39.06372087905406,-77.16042925094594,129.13513513513513,119.0,5.6024873330262555
229,3,39.04883233333334,-77.15025821,71.2,66.0,0.22037218413320275
230,47,39.03844982553192,-77.20219836042556,66.43178170144462,66.0,0.053989354929075306
231,13,39.03442838846154,-77.22506554461538,57.40797940797941,55.0,0.012001724255280531
232,12,39.0584678225,-77.22073860416667,62.45274102079395,61.0,0.01906260121223338
233,6,39.05562311833334,-77.21150575,60.21321961620469,55.0,0.04802196986565724
234,37,39.05122886486487,-77.1980794237838,58.608876560332874,56.0,0.06040150564617315
235,66,39.06446576833333,-77.18207388439394,68.28571428571429,70.0,0.013102119460500963
236,17,39.0687860617647,-77.20069855117647,58.5716798592788,58.0,0.024743029482365977
237,141,39.08513525617021,-77.20901110950355,84.08121128699243,78.0,0.6150226052930756
238,107,39.08378992214953,-77.18479235570094,87.12513484358145,82.0,0.5471036702168416
239,39,39.07844763512821,-77.17430439384617,62.14226804123712,59.0,0.07248594406092093
240,35,39.067918492285706,-77.15803893542858,86.63,87.5,0.9337053571428572
241,210,39.09714833904762,-77.18851577495239,111.44050991501416,111.0,3.477916903813318
242,148,39.107678892027025,-77.1706234268919,111.41458733205374,107.0,2.526763472871985
243,46,39.095558159782605,-77.17345423304347,66.07317073170732,61.0,0.2737246297312123
244,51,39.102997102549025,-77.1599780735294,78.2687074829932,64.0,0.782554806723991
245,54,39.08774019777776,-77.16498382907405,134.9527027027027,130.0,7.047139403706688
246,34,39.091411111470585,-77.16670111735294,63.410526315789475,63.0,0.1182476331910154
247,2,39.08798181,-77.16266390999999,82.59183673469387,84.0,0.13711716774374824
248,15,39.08628463133333,-77.16975721466669,67.65853658536585,66.0,0.03778526000748223
249,8,39.08567173,-77.16552682125001,86.725,82.0,0.43584437086092714
250,35,39.081562526571425,-77.16496018114285,81.1814946619217,79.0,0.26726292983723127
251,51,39.09320863607843,-77.15517045568627,126.86315789473684,129.0,6.023310023310024
252,39,39.08969876948718,-77.15833536615385,88.36363636363636,85.5,0.6895532765513646
253,17,39.084546674705884,-77.15788005588236,82.78,74.5,0.3723474801061008
254,28,39.08709364678571,-77.15372759142858,111.67857142857143,101.5,1.659013605442177
255,109,39.08429811908258,-77.15305580073395,121.95833333333333,111.5,3.0261348005502064
256,40,39.08253669575,-77.15245314225,104.34,103.5,2.1352163461538463
257,39,39.07806276820512,-77.1597260846154,77.29268292682927,76.0,0.15131698455949136
258,67,39.07534311761195,-77.15568343701493,63.06334841628959,59.0,0.06576431903341745
259,33,39.066537776060606,-77.15392460424243,86.51269035532995,80.0,0.6877599524658348
260,81,39.07752440938271,-77.14751538827159,93.58823529411765,88.0,0.595653990806519
261,19,39.081591115263166,-77.15093175684211,128.8,128.0,2.961335676625659
262,83,39.0784274793976,-77.14356354036146,145.3877551020408,153.0,13.233766233766234
263,87,39.0769909716092,-77.14074533344828,107.75193798449612,91.0,1.2151394422310757
264,32,39.058509886875,-77.145984276875,65.53837471783295,64.0,0.1274051063003592
265,56,39.072260291607144,-77.13337457642858,102.06818181818181,94.5,1.429537462807682
266,158,39.06431429348101,-77.12673718392405,135.58415841584159,147.0,5.580490148966843
267,65,39.06137793784616,-77.1293797836923,101.23423423423424,104.0,2.1617895329206527
268,25,39.0567442156,-77.1287137396,84.62711864406779,86.5,0.6549552535631422
269,75,39.06140570946667,-77.12284554040001,162.0,152.0,inf
270,183,39.05586819502732,-77.12222242191258,137.69354838709677,133.0,8.662705149971703
271,160,39.0546114269375,-77.115958895125,155.4090909090909,158.0,inf
272,96,39.06059476979167,-77.12214085781251,171.28571428571428,176.0,inf
